team_index,Team,Group,"First match 
against","Second match
 against","Third match
 against",
Qatar,Qatar,A,Ecuador,Senegal,Netherlands,
Ecuador,Ecuador,A,Qatar,Netherlands,Senegal,
Senegal,Senegal,A,Netherlands,Qatar,Ecuador,
Netherlands,Netherlands,A,Senegal,Ecuador,Qatar,
England,England,B,Iran,USA,Wales,
Iran,Iran,B,England,Wales,USA,
USA,USA,B,Wales,England,Iran,
Wales,Wales,B,USA,Iran,England,
Argentina,Argentina,C,Saudi Arabia,Mexico,Poland,
Saudi Arabia,Saudi Arabia,C,Argentina,Poland,Mexico,
Mexico,Mexico,C,Poland,Argentina,Saudi Arabia,
Poland,Poland,C,Mexico,Saudi Arabia,Argentina,
France,France,D,Australia,Denmark,Tunisia,
Australia,Australia,D,France,Tunisia,Denmark,
Tunisia,Tunisia,D,Denmark,Australia,France,
Denmark,Denmark,D,Tunisia,France,Australia,
Costa Rica,Costa Rica,E,Spain,Japan,Germany,
Germany,Germany,E,Japan,Spain,Costa Rica,
Japan,Japan,E,Germany,Costa Rica,Spain,
Spain,Spain,E,Costa Rica,Germany,Japan,
Belgium,Belgium,F,Canada,Morocco,Croatia,
Canada,Canada,F,Belgium,Croatia,Morocco,
Morocco,Morocco,F,Croatia,Belgium,Canada,
Croatia,Croatia,F,Morocco,Canada,Belgium,
Brazil,Brazil,G,Serbia,Switzerland,Cameroon,
Serbia,Serbia,G,Brazil,Cameroon,Switzerland,
Switzerland,Switzerland,G,Cameroon,Brazil,Serbia,
Cameroon,Cameroon,G,Switzerland,Serbia,Brazil,
Portugal,Portugal,H,Ghana,Uruguay,South Korea,
Uruguay,Uruguay,H,South Korea,Portugal,Ghana,
Ghana,Ghana,H,Portugal,South Korea,Uruguay,
South Korea,South Korea,H,Uruguay,Ghana,Portugal,